accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud,isReversal,time_diff
984504651,984504651,50000,26680.99,3/12/2016 6:34,118.52,AMC #706324,US,US,02,01,entertainment,Oct-24,7/27/2015,7/27/2015,640,640,8332,PURCHASE,,23319.01,,,,TRUE,,,FALSE,FALSE,FALSE,16
863358589,863358589,2500,1377.03,9/8/2016 0:35,72.83,West End Beauty #178111,US,US,05,01,personal care,Jun-25,2/15/2014,6/23/2016,779,779,787,PURCHASE,,1122.97,,,,TRUE,,,FALSE,TRUE,FALSE,127
782635414,782635414,5000,698.9,12/10/2016 3:05,28.07,Virgin Airlines,US,US,80,08,airline,Aug-23,3/14/2014,3/14/2014,264,264,4947,PURCHASE,,4301.1,,,,FALSE,,,FALSE,FALSE,FALSE,12
203674388,203674388,10000,7185.9,3/26/2016 20:04,77.26,discount.com,US,US,02,01,online_retail,Feb-32,10/30/2015,10/30/2015,781,781,489,PURCHASE,,2814.1,,,,FALSE,,,FALSE,FALSE,FALSE,149
815239280,815239280,5000,607.26,3/15/2016 2:48,0,Downtown Sandwitch Bar,US,US,05,01,food,Mar-27,6/23/2015,6/23/2015,995,995,642,ADDRESS_VERIFICATION,,4392.74,,,,FALSE,,,FALSE,FALSE,TRUE,106
101380713,101380713,10000,2009.25,7/23/2016 6:56,33.74,amazon.com,US,US,05,01,online_retail,Nov-28,6/1/2015,6/3/2016,551,551,7553,PURCHASE,,7990.75,,,,FALSE,,,FALSE,FALSE,FALSE,151
631747753,631747753,15000,13188.34,2/14/2016 21:27,163.93,EZ Putt Putt #503815,US,US,05,08,entertainment,Feb-30,11/5/2015,11/5/2015,220,220,4786,PURCHASE,,1811.66,,,,TRUE,,,FALSE,FALSE,FALSE,32
631747753,631747753,15000,12827.19,5/9/2016 10:44,353.85,KFC #791382,US,US,05,08,fastfood,Apr-21,11/5/2015,4/19/2016,220,220,4786,PURCHASE,,2172.81,,,,TRUE,,,FALSE,FALSE,FALSE,235
187912273,187912273,2500,1523.96,4/3/2016 2:22,263.72,AMC #706324,US,US,09,01,entertainment,Feb-32,5/20/2013,2/18/2016,619,619,6863,PURCHASE,,976.04,,,,TRUE,,,FALSE,FALSE,FALSE,172
745217385,745217385,250,16.01,2/2/2016 13:09,384.33,ebay.com,US,US,02,08,online_retail,Apr-32,11/19/2013,11/19/2013,486,486,6091,PURCHASE,,233.99,,,,FALSE,,,FALSE,FALSE,FALSE,164
