accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,echoBuffer,currentBalance,merchantCity,merchantState,merchantZip,cardPresent,posOnPremises,recurringAuthInd,expirationDateKeyInMatch,isFraud,isReversal
114896048,114896048,15000.0,2531.22,2016-07-21 03:20:55,0.0,alibaba.com,US,US,09,01,online_retail,09/2023,2015-12-19,2016-06-10,773,773,8915,ADDRESS_VERIFICATION,,12468.78,,,,False,,,False,False,True
815239280,815239280,5000.0,607.26,2016-03-15 02:46:41,0.0,Downtown Sandwitch Bar,US,US,05,01,food,03/2027,2015-06-23,2015-06-23,995,995,642,ADDRESS_VERIFICATION,,4392.74,,,,False,,,False,False,True
815239280,815239280,5000.0,607.26,2016-03-15 02:48:27,0.0,Downtown Sandwitch Bar,US,US,05,01,food,03/2027,2015-06-23,2015-06-23,995,995,642,ADDRESS_VERIFICATION,,4392.74,,,,False,,,False,False,True
805566864,805566864,15000.0,12157.45,2016-07-21 05:37:00,0.0,Regal Cinemas #05791,US,US,05,01,entertainment,12/2026,2014-08-19,2014-08-19,225,225,1467,ADDRESS_VERIFICATION,,2842.55,,,,False,,,False,False,True
419989841,419989841,5000.0,1100.04,2016-06-11 16:59:21,0.0,walmart.com,US,US,09,01,online_retail,07/2031,2015-03-05,2015-03-05,209,209,1477,ADDRESS_VERIFICATION,,3899.96,,,,False,,,False,False,True
642308149,642308149,10000.0,3281.56,2016-08-11 01:55:48,0.0,Universe Massage #08680,US,US,05,01,personal care,02/2027,2015-06-02,2016-05-28,930,930,3888,ADDRESS_VERIFICATION,,6718.44,,,,False,,,False,False,True
187912273,187912273,2500.0,688.67,2016-07-26 06:25:59,0.0,Next Day eCards,US,US,09,08,online_gifts,06/2030,2013-05-20,2016-06-13,619,619,6863,ADDRESS_VERIFICATION,,1811.33,,,,False,,,False,False,True
996362843,996362843,1000.0,552.77,2016-01-29 05:53:46,0.0,ebay.com,US,US,05,08,online_retail,05/2023,2012-10-14,2012-10-14,367,367,4949,ADDRESS_VERIFICATION,,447.23,,,,False,,,False,False,True
687365478,687365478,10000.0,10000.0,2016-05-14 08:51:04,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,0.0,,,,False,,,False,False,True
687365478,687365478,10000.0,10000.0,2016-05-28 00:10:15,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,0.0,,,,False,,,False,False,True
687365478,687365478,10000.0,9984.03,2016-06-25 08:28:32,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,15.97,,,,False,,,False,False,True
687365478,687365478,10000.0,9984.03,2016-07-23 16:48:46,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,15.97,,,,False,,,False,False,True
687365478,687365478,10000.0,9984.03,2016-08-20 05:25:01,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,15.97,,,,False,,,False,False,True
687365478,687365478,10000.0,10000.0,2016-09-03 19:45:45,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,0.0,,,,False,,,False,False,True
687365478,687365478,10000.0,10000.0,2016-10-02 00:15:22,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,0.0,,,,False,,,False,False,True
687365478,687365478,10000.0,9984.03,2016-10-29 21:48:29,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,15.97,,,,False,,,False,False,True
687365478,687365478,10000.0,9984.03,2016-11-26 10:45:46,0.0,Texas Gas #311659,US,US,02,08,fuel,07/2024,2015-01-26,2015-01-26,939,939,3242,PURCHASE,,15.97,,,,False,,,False,False,True
668332358,668332358,250.0,86.77,2016-07-20 10:06:52,0.0,AMC #145832,US,US,09,01,entertainment,07/2026,2011-11-19,2011-11-19,127,127,7607,ADDRESS_VERIFICATION,,163.23,,,,False,,,False,False,True
934061435,934061435,5000.0,4054.43,2016-01-03 10:02:18,0.0,sears.com,US,US,02,01,online_retail,09/2023,2014-12-31,2014-12-31,985,985,394,ADDRESS_VERIFICATION,,945.57,,,,False,,,False,False,True
934061435,934061435,5000.0,2863.07,2016-07-01 21:50:02,0.0,cheapfast.com,US,US,09,01,online_retail,02/2025,2014-12-31,2016-05-03,985,985,394,ADDRESS_VERIFICATION,,2136.93,,,,False,,,False,False,True
934061435,934061435,5000.0,1295.73,2016-08-13 18:35:31,0.0,Arbys #375120,US,US,05,01,fastfood,11/2022,2014-12-31,2016-07-24,985,985,394,ADDRESS_VERIFICATION,,3704.27,,,,False,,,False,False,True
745217385,745217385,250.0,127.34,2016-02-07 02:43:32,0.0,ebay.com,US,US,05,01,online_retail,01/2032,2013-11-19,2013-11-19,224,224,2036,ADDRESS_VERIFICATION,,122.66,,,,False,,,False,False,True
745217385,745217385,250.0,55.61,2016-09-10 02:21:36,0.0,EZ Putt Putt #982199,US,US,05,01,entertainment,02/2033,2013-11-19,2013-11-19,224,224,2036,ADDRESS_VERIFICATION,,194.39,,,,False,,,False,False,True
745217385,745217385,250.0,55.61,2016-09-10 02:22:25,0.0,EZ Putt Putt #982199,US,US,05,01,entertainment,02/2033,2013-11-19,2013-11-19,224,224,2036,ADDRESS_VERIFICATION,,194.39,,,,False,,,False,False,True
386732203,386732203,5000.0,404.44,2016-09-24 01:23:37,0.0,walmart.com,US,US,02,01,online_retail,01/2026,2007-10-07,2016-04-09,515,515,7249,ADDRESS_VERIFICATION,,4595.56,,,,False,,,False,False,True
869838014,869838014,15000.0,1165.53,2016-02-28 04:08:16,0.0,walmart.com,US,US,05,01,online_retail,05/2033,2015-11-19,2015-11-19,129,129,5090,ADDRESS_VERIFICATION,,13834.47,,,,False,,,False,False,True
346419123,346419123,7500.0,5340.83,2016-07-13 15:53:05,0.0,Krispy Kreme #375200,US,US,02,01,fastfood,03/2026,2015-04-14,2015-04-14,149,149,9685,ADDRESS_VERIFICATION,,2159.17,,,,False,,,False,False,True
525304407,525304407,250.0,4.19,2016-07-27 02:38:29,0.0,alibaba.com,US,US,09,08,online_retail,10/2026,2014-12-27,2016-04-03,166,166,8319,ADDRESS_VERIFICATION,,245.81,,,,False,,,False,False,True
525304407,525304407,250.0,171.67,2016-07-27 02:41:16,0.0,alibaba.com,US,US,09,08,online_retail,10/2026,2014-12-27,2016-04-03,166,166,8319,ADDRESS_VERIFICATION,,78.33,,,,False,,,False,False,True
241348105,241348105,7500.0,731.45,2016-11-04 02:19:44,0.0,Chicago News,US,US,05,08,subscriptions,05/2022,2015-06-18,2016-05-17,809,809,8946,ADDRESS_VERIFICATION,,6768.55,,,,False,,,False,False,True
